root | market_data_quote_crypto | 476 | INFO | 2023-04-10 18:41:49,899 | BTC/USD@29282.34
root | estrategia_RSI | 421 | INFO | 2023-04-10 18:41:49,907 |  HOLD or WAIT RSI
root | manejo_posicion | 699 | INFO | 2023-04-10 18:41:49,908 | == UPDATE POSICION ==
root | manejo_posicion | 701 | INFO | 2023-04-10 18:41:49,908 | == CONTRATOS EN MANO 0 ==
root | manejo_posicion | 705 | INFO | 2023-04-10 18:41:49,908 | == Comprado? False ==
root | manejo_posicion | 709 | INFO | 2023-04-10 18:41:49,908 | == RSI_ACTUAL 57.494040744258555 ==
root | manejo_posicion | 713 | INFO | 2023-04-10 18:41:49,908 | == RSI_STOPLOSS 25 ==
root | manejo_posicion | 717 | INFO | 2023-04-10 18:41:49,908 | == RSI_TARGET1 55 ==
root | manejo_posicion | 721 | INFO | 2023-04-10 18:41:49,908 | == RSI_TARGET2 60 ==
root | manejo_posicion | 725 | INFO | 2023-04-10 18:41:49,908 | == RSI_TARGET3 65 ==
root | manejo_posicion | 818 | INFO | 2023-04-10 18:41:49,908 | == STOP LOSS 25 ==
root | market_data_quote_crypto | 476 | INFO | 2023-04-10 18:41:52,464 | BTC/USD@29282.34
root | market_data_quote_crypto | 476 | INFO | 2023-04-10 18:41:55,511 | BTC/USD@29287.9640719
root | estrategia_RSI | 421 | INFO | 2023-04-10 18:41:55,515 |  HOLD or WAIT RSI
root | manejo_posicion | 699 | INFO | 2023-04-10 18:41:55,516 | == UPDATE POSICION ==
root | manejo_posicion | 701 | INFO | 2023-04-10 18:41:55,516 | == CONTRATOS EN MANO 0 ==
root | manejo_posicion | 705 | INFO | 2023-04-10 18:41:55,516 | == Comprado? False ==
root | manejo_posicion | 709 | INFO | 2023-04-10 18:41:55,516 | == RSI_ACTUAL 57.494040744258555 ==
root | manejo_posicion | 713 | INFO | 2023-04-10 18:41:55,516 | == RSI_STOPLOSS 25 ==
root | manejo_posicion | 717 | INFO | 2023-04-10 18:41:55,516 | == RSI_TARGET1 55 ==
root | manejo_posicion | 721 | INFO | 2023-04-10 18:41:55,516 | == RSI_TARGET2 60 ==
root | manejo_posicion | 725 | INFO | 2023-04-10 18:41:55,516 | == RSI_TARGET3 65 ==
root | manejo_posicion | 818 | INFO | 2023-04-10 18:41:55,516 | == STOP LOSS 25 ==
root | market_data_quote_crypto | 476 | INFO | 2023-04-10 18:41:58,044 | BTC/USD@29272.7034411
root | market_data_quote_crypto | 476 | INFO | 2023-04-10 18:42:01,088 | BTC/USD@29287.86226447
root | estrategia_RSI | 421 | INFO | 2023-04-10 18:42:01,092 |  HOLD or WAIT RSI
root | manejo_posicion | 699 | INFO | 2023-04-10 18:42:01,093 | == UPDATE POSICION ==
root | manejo_posicion | 701 | INFO | 2023-04-10 18:42:01,093 | == CONTRATOS EN MANO 0 ==
root | manejo_posicion | 705 | INFO | 2023-04-10 18:42:01,093 | == Comprado? False ==
root | manejo_posicion | 709 | INFO | 2023-04-10 18:42:01,093 | == RSI_ACTUAL 57.494040744258555 ==
root | manejo_posicion | 713 | INFO | 2023-04-10 18:42:01,093 | == RSI_STOPLOSS 25 ==
root | manejo_posicion | 717 | INFO | 2023-04-10 18:42:01,093 | == RSI_TARGET1 55 ==
root | manejo_posicion | 721 | INFO | 2023-04-10 18:42:01,093 | == RSI_TARGET2 60 ==
root | manejo_posicion | 725 | INFO | 2023-04-10 18:42:01,093 | == RSI_TARGET3 65 ==
root | manejo_posicion | 818 | INFO | 2023-04-10 18:42:01,093 | == STOP LOSS 25 ==
root | market_data_quote_crypto | 476 | INFO | 2023-04-10 18:42:03,635 | BTC/USD@29287.86226447
root | market_data_quote_crypto | 476 | INFO | 2023-04-10 18:42:06,709 | BTC/USD@29279.4719
root | estrategia_RSI | 421 | INFO | 2023-04-10 18:42:06,714 |  HOLD or WAIT RSI
root | manejo_posicion | 699 | INFO | 2023-04-10 18:42:06,715 | == UPDATE POSICION ==
root | manejo_posicion | 701 | INFO | 2023-04-10 18:42:06,715 | == CONTRATOS EN MANO 0 ==
root | manejo_posicion | 705 | INFO | 2023-04-10 18:42:06,715 | == Comprado? False ==
root | manejo_posicion | 709 | INFO | 2023-04-10 18:42:06,715 | == RSI_ACTUAL 57.494040744258555 ==
root | manejo_posicion | 713 | INFO | 2023-04-10 18:42:06,715 | == RSI_STOPLOSS 25 ==
root | manejo_posicion | 717 | INFO | 2023-04-10 18:42:06,715 | == RSI_TARGET1 55 ==
root | manejo_posicion | 721 | INFO | 2023-04-10 18:42:06,715 | == RSI_TARGET2 60 ==
root | manejo_posicion | 725 | INFO | 2023-04-10 18:42:06,715 | == RSI_TARGET3 65 ==
